bench,nr,möbel,kant,pris,orsak,rubrik
b1,5,Bellus soffa,dyrast,18999.0,bunt,Bellus furniture moby soffa och fotpall
b1,5,Bellus soffa,billigast,200.0,typmotsägelse,Bäddsoffa Bellus
b1,5,Bellus soffa,billigast,500.0,typmotsägelse,BELLUS hörnsoffa med 2 divaner.
b1,5,Bellus soffa,billigast,500.0,typmotsägelse,Divansoffa Magnum by Bellus
b1,5,Bellus soffa,billigast,500.0,typmotsägelse,Bellus divansoffa 4-sits
b1,5,Bellus soffa,billigast,850.0,typmotsägelse,"Nevada U-soffa, County, Mio Bellus bäddsoffa, Fri hemkörni"
b1,6,IKEA stocksund,dyrast,6000.0,bunt,"Soffa, fåtölj och fotpall - IKEA Stocksund"
b1,6,IKEA stocksund,dyrast,4000.0,tillbehör,Oanvänd IKEA-Stocksund soffa med Bemz överdrag
b1,6,IKEA stocksund,dyrast,3800.0,tillbehör,Stocksund 2-sits soffa Ikea Bemz överdrag
b1,6,IKEA stocksund,dyrast,3500.0,bunt,Ikea soffa &amp; fåtölj Stocksund m fotpall
b1,6,IKEA stocksund,dyrast,3500.0,bunt,Ikea Stocksund Soffa med tillhörande pall
b1,6,IKEA stocksund,billigast,99.0,bunt,"Ikea Stocksund 3,5 sits soffa, sittbänk o bord"
b1,6,IKEA stocksund,billigast,200.0,bunt,"Ikea stocksund soffa, fåtölj, fotpall, tv-bänk, soffbord"
b1,6,IKEA stocksund,billigast,200.0,bunt,"Ikea Stocksund soffgrupp, soffbord och tavlor"
b1,6,IKEA stocksund,billigast,200.0,bunt,soffa och sittpuff Stocksund IKEA
b1,6,IKEA stocksund,billigast,200.0,bunt,Två fåtöljer - Ikea Stocksund
b1,8,Kartell Victoria Ghost,dyrast,4809.0,bunt,"stolar och karmstol, 6+1, ""Louis Ghost"" samt ""Victoria Ghost"", Kartell, plast. philippe starck"
b1,8,Kartell Victoria Ghost,dyrast,1000.0,bunt,6 st. Kartell Victoria Ghost barstol
b1,8,Kartell Victoria Ghost,dyrast,800.0,bunt,"Karmstolar, ""Victoria Ghost"", 2 st, för Kartell. philippe starck"
b1,8,Kartell Victoria Ghost,billigast,800.0,bunt,"Karmstolar, ""Victoria Ghost"", 2 st, för Kartell. philippe starck"
b1,8,Kartell Victoria Ghost,billigast,1000.0,bunt,6 st. Kartell Victoria Ghost barstol
b1,8,Kartell Victoria Ghost,billigast,4809.0,bunt,"stolar och karmstol, 6+1, ""Louis Ghost"" samt ""Victoria Ghost"", Kartell, plast. philippe starck"
b1,9,Matgrupp 5 stolar,dyrast,230000.0,bunt,Mio matgrupp med vitrinskåp
b1,9,Matgrupp 5 stolar,dyrast,67000.0,tillbehör,"FÖR KNOLL INTERNATIONAL, MATGRUPP, ""TULIP"" 6 DELAR. eero saarinen"
b1,9,Matgrupp 5 stolar,dyrast,65000.0,bunt,komplett heminredning soffa säng matgrupp
